
17092023160530, 14,  "Stanley #2 Philips Screwdriver", $6.95, 1, %0, $6.95,  September 17, 2023, 04:05:30 PM EST

17092023160546, 14,  "Stanley #2 Philips Screwdriver", $6.95, 1, %0, $6.95,  September 17, 2023, 04:05:46 PM EST
17092023160546, 23,  "Tamiya 2oz paint - ferrari red", $2.39, 2, %0, $4.78,  September 17, 2023, 04:05:46 PM EST

17092023161755, 23,  "Tamiya 2oz paint - ferrari red", $2.39, 4, %0, $9.56,  September 17, 2023, 04:17:55 PM EST

17092023162454, 14,  "Stanley #2 Philips Screwdriver", $6.95, 1, %0, $6.95,  September 17, 2023, 04:24:54 PM EST
17092023162454, 3451,  "Oakley Jawbreaker sunglasses", $236.0, 2, %0, $472.0,  September 17, 2023, 04:24:54 PM EST

17092023164328, 47831,  "8x10 picture frame", $4.95, 1000, %20, $3960.0,  September 17, 2023, 04:43:28 PM EST
17092023164328, 65435689,  "12x16 paper cutter with ruler", $35.95, 2, %0, $71.9,  September 17, 2023, 04:43:28 PM EST
17092023164328, 234887,  "2023 CSX train calendar", $12.95, 34, %20, $352.24,  September 17, 2023, 04:43:28 PM EST
17092023164328, 1111,  "Top Secret Twenty One - Janet Evanovich", $8.99, 66, %20, $474.67,  September 17, 2023, 04:43:28 PM EST

17092023164357, 65435689,  "12x16 paper cutter with ruler", $35.95, 3, %0, $107.85,  September 17, 2023, 04:43:57 PM EST

17092023164420, 3451,  "Oakley Jawbreaker sunglasses", $236.0, 100, %20, $18880.0,  September 17, 2023, 04:44:20 PM EST

17092023164654, 4499120,  "M&Ms dark chocolate w/peanuts - 3oz", $2.5, 45, %20, $90.0,  September 17, 2023, 04:46:54 PM EST

